,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
2876,0.0060999999999999995,0.0101,0.008,0.0155,0.006500000000000001,0.0070999999999999995,0.0085,0.0029,-0.0013,0.0075
2877,-0.012199999999999999,-0.0125,-0.0143,-0.017,-0.0118,-0.013000000000000001,-0.0141,-0.013300000000000001,-0.0067,-0.0096
2878,0.006,-0.0075,-0.0046,-0.0276,-0.0102,-0.0072,-0.0023,-0.0089,0.0022,-0.005600000000000001
2879,0.0175,0.021400000000000002,0.020099999999999996,0.0212,0.0179,0.018000000000000002,0.0209,0.0101,0.0072,0.0131
2880,-0.0128,-0.018000000000000002,-0.0183,-0.0191,-0.0151,-0.0189,-0.013300000000000001,-0.0155,-0.0116,-0.0123
2881,0.0068000000000000005,-0.0051,-0.004,-0.006,-0.0036,0.0054,0.0034999999999999996,0.0062,0.0086,0.0054
2882,0.0058,0.0076,-0.0011,-0.0078000000000000005,-0.002,0.0026,0.0037,0.0009,0.0062,0.0055000000000000005
2883,0.005600000000000001,0.0092,0.0089,-0.0014000000000000002,0.0007000000000000001,0.0048,0.0101,0.0028000000000000004,0.0044,0.0013
2884,0.013300000000000001,0.024300000000000002,0.0236,0.0335,0.024300000000000002,0.024700000000000003,0.0194,0.0141,0.0054,0.0129
2885,-0.004699999999999999,-0.0060999999999999995,-0.002,0.0021,-0.0051,-0.0063,-0.0103,-0.0085,-0.0073,-0.0059
2886,-0.0015,0.008199999999999999,0.002,-0.008,0.0069,0.0042,0.0084,0.0029,-0.0044,-0.0026
2887,-0.0026,0.0016,-0.0032,-0.012,-0.0037,-0.0028000000000000004,-0.0017000000000000001,0.0034999999999999996,0.0018,-0.0014000000000000002
2888,0.0060999999999999995,0.005600000000000001,0.0051,-0.0031,0.0097,0.009000000000000001,0.005699999999999999,0.0087,0.0063,0.0074
2889,0.0125,0.0108,0.0137,0.028900000000000002,0.0127,0.0148,0.0146,0.011200000000000002,0.0084,0.0087
2890,0.0038,0.0054,0.0046,0.0172,0.0015,-0.0022,-0.0014000000000000002,-0.0024,0.005,0.0055000000000000005
